"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"length",0,0,0,0,0,0,0,0,0,0,0,0
"POP_PCB1",0,0,0,1,1,1,0,0,1,0,1,0
"POP_PCB2",0,0,0,0,0,0,0,0,0,0,0,0
"POP_PCB3",0,0,0,0,0,0,0,0,0,0,0,0
"POP_PCB4",0,0,0,0,0,0,0,0,0,0,0,0
"POP_PCB5",0,0,0,1,0,0,0,0,0,0,0,0
"POP_PCB6",0,0,0,0,0,0,0,0,0,0,0,0
"POP_PCB7",0,0,0,0,0,0,0,0,0,0,0,0
"POP_PCB8",0,0,0,0,0,0,0,0,0,0,0,0
"POP_PCB9",0,0,0,0,0,0,0,0,0,0,0,0
"POP_PCB10",0,0,0,0,1,1,0,1,1,0,1,0
"POP_PCB11",0,0,0,0,0,0,0,0,0,0,0,0
"POP_dioxin1",0,0,0,0,0,0,0,0,0,0,0,0
"POP_dioxin2",0,0,0,0,0,0,0,0,0,0,0,0
"POP_dioxin3",0,0,0,0,0,0,0,0,0,0,0,0
"POP_furan1",0,0,0,0,0,0,0,1,0,0,0,0
"POP_furan2",0,0,0,0,0,0,0,0,0,0,0,0
"POP_furan3",1,1,1,1,1,1,1,0,1,1,1,1
"POP_furan4",0,0,0,0,1,0,0,0,0,0,0,0
"whitecell_count",0,1,0,0,0,0,0,0,0,0,1,1
"lymphocyte_pct",0,1,0,0,0,0,0,0,0,0,0,0
"monocyte_pct",0,1,0,0,0,0,0,0,0,0,1,1
"basophils_pct",0,0,0,0,0,0,0,0,0,0,0,0
"neutrophils_pct",1,0,0,0,0,0,0,0,0,0,0,0
"BMI",0,0,0,1,0,0,1,0,0,0,0,0
"edu_cat",0,0,0,0,0,0,0,0,0,0,0,0
"race_cat",0,0,0,0,0,0,0,0,0,0,0,0
"male",0,0,0,0,0,0,0,0,0,0,0,0
"ageyrs",1,1,1,1,1,1,1,1,1,1,1,1
"yrssmoke",0,0,0,0,0,0,0,0,0,0,0,0
"smokenow",0,0,0,0,0,0,0,0,0,0,0,0
"ln_lbxcot",1,1,1,0,1,1,0,0,1,1,1,1
"edu_cathigh_school",0,1,0,0,0,0,0,0,0,0,1,1
"edu_catcollege",0,1,0,0,0,0,0,0,0,0,1,1
"edu_catcollege_grad",0,1,0,0,0,0,0,0,0,0,1,1
"race_catmaxi_us",0,0,0,0,0,0,0,0,0,0,0,0
"race_catnonhisp_black",0,0,0,1,1,1,1,0,1,0,1,1
"race_catnonhisp_white",0,0,0,1,1,1,1,0,1,0,1,1
