"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"length",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB1",0.0389368966821299,0.107839163002704,0.121278737657179,0,0.0205690978071258,0.0725497177763235,0.105585744790676,0.0338514275028203,0.0585351486012854,0.0491432301190419,0
"POP_PCB2",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB3",0.0305696036309062,0,0,0,0,0,0,0,0,0,0
"POP_PCB4",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB5",0,0.0846409782266759,0.105603356758486,0,0.0168482759641847,0.0711522665424582,0.079149177043757,0.0388425530969435,0.0686354552515223,0.0591913460521547,0
"POP_PCB6",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB7",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB8",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB9",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB10",0.115766398835589,0,0,0,0,0,0,0,0,0,0
"POP_PCB11",0,0,0,0,0,0,0,0,0,0,0
"POP_dioxin1",0,0,0,0,0,0,0,0,0,0,0
"POP_dioxin2",0.0672057785433748,0,0,0,0,0,0,0,0,0,0
"POP_dioxin3",0,0,0,0,0,0,0,0,0,0,0
"POP_furan1",0,0,0,0,0,0,0,0,0,0,0
"POP_furan2",0,0,0,0,0,0,0,0,0,0,0
"POP_furan3",0.00620254280811096,0.00414031273837923,0.00144282764579227,7.7492539799491e-06,0.00223741160013329,0.00246858068765051,0.00401456162382794,0.00502558413878506,0.0067515104774395,0.00304894703128222,0.000442755996384427
"POP_furan4",0,0,0,0,0,0,0,0,0,0,0
"whitecell_count",0,0,0,0,0,0,0,0,0,0,0
"lymphocyte_pct",0,0,0,0,0,0,0,0,0,0,0
"monocyte_pct",0,0,0,0,0,0,0,0,0,0,0
"basophils_pct",0,0,0,0,0,0,0,0,0,0,0
"neutrophils_pct",0,0,0,0,0,0,0,0,0,0,0
"BMI",0,0,0,0,0,0,0,0,0,0,0
"edu_cat",0,0,0,0,0,0,0,0,0,0,0
"race_cat",0,0,0,0,0,0,0,0,0,0,0
"male",0,0,0,0,0,0,0,0,0,0,0
"ageyrs",4.02024643665521e-18,6.44025541321523e-24,4.57563250866193e-23,8.0036613559017e-32,1.0827232457961e-24,6.13819622831127e-24,8.86050848960777e-23,5.0519101664372e-19,3.05669551971133e-19,8.61523188314182e-23,2.39874026462481e-26
"yrssmoke",0,0,0,0,0,0,0,0,0,0,0
"smokenow",0,0,0,0,0,0,0,0,0,0,0
"ln_lbxcot",0.0657586625148876,0.0922588275747568,0.161128059337904,0,0.0633935690046504,0,0.0903154452054292,0.0731344252069403,0.115060715765079,0.0305507586701019,0.0724986008090594
"edu_cathigh_school",0.934062572789988,0.738728346107312,0.784860682256683,0,0.359524905556322,0.711516723330083,0.99734556500102,0.21605570072302,0.974880258286485,0.732790560041917,0.700856424875904
"edu_catcollege",0.00271006407225251,0.00771627830738954,0.010140324984037,0,0.000464177240065784,0.00547504632488769,0.0251841089357966,0.000712595000498798,0.00367554596683795,0.0175495278950615,0.0121900311369095
"edu_catcollege_grad",0.0953197807123501,0.0420524753118037,0.125769241155991,0,0.0309051288097022,0.201612417378679,0.154275603690237,0.0360076757542878,0.130049641645448,0.0708176234614464,0.0714465245674818
"race_catmaxi_us",0,0,0,0,0,0,0,0,0,0,0
"race_catnonhisp_black",0,0,0,0,0,0,0,0,0,0,0
"race_catnonhisp_white",0,0,0,0,0,0,0,0,0,0,0
