"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"length",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB1",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB2",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB3",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB4",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB5",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB6",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB7",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB8",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB9",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB10",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB11",0,0,0,0,0,0,0,0,0,0,0
"POP_dioxin1",0,0,0,0,0,0,0,0,0,0,0
"POP_dioxin2",0,0,0,0,0,0,0,0,0,0,0
"POP_dioxin3",0,0,0,0,0,0,0,0,0,0,0
"POP_furan1",0,0,0,0,0,0,0,0,0,0,0
"POP_furan2",0,0,0,0,0,0,0,0,0,0,0
"POP_furan3",3.99051976743939e-05,0.000168827452272407,1.7507985018041e-05,5.12876720700669e-06,1.09196913423266e-05,5.01883515814141e-05,7.47827347048309e-05,0.000154404096770044,0.000128482732537719,0.000100286659051198,0.000185897153256616
"POP_furan4",0,0,0,0,0,0,0,0,0,0,0
"whitecell_count",0,0,0,0,0,0,0,0,0,0,0
"lymphocyte_pct",0,0,0,0,0,0,0,0,0,0,0
"monocyte_pct",0,0,0,0,0,0,0,0,0,0,0
"basophils_pct",0,0,0,0,0,0,0,0,0,0,0
"neutrophils_pct",0,0,0,0,0,0,0,0,0,0,0
"BMI",0,0,0,0,0,0,0,0,0,0,0
"edu_cat",0,0,0,0,0,0,0,0,0,0,0
"race_cat",0,0,0,0,0,0,0,0,0,0,0
"male",0,0,0,0,0,0,0,0,0,0,0
"ageyrs",9.04837373150049e-30,2.31112866905199e-31,1.18568739012071e-30,7.12607554572937e-32,1.04016424756276e-32,8.53610597605412e-30,5.28275009601069e-30,2.67018837273118e-27,1.01972589957389e-27,5.40286132068818e-31,6.18818931821469e-30
"yrssmoke",0,0,0,0,0,0,0,0,0,0,0
"smokenow",0,0,0,0,0,0,0,0,0,0,0
"ln_lbxcot",0,0,0,0,0,0,0,0,0,0,0
"edu_cathigh_school",0,0,0,0,0,0,0,0,0,0,0
"edu_catcollege",0,0,0,0,0,0,0,0,0,0,0
"edu_catcollege_grad",0,0,0,0,0,0,0,0,0,0,0
"race_catmaxi_us",0,0,0,0,0,0,0,0,0,0,0
"race_catnonhisp_black",0,0,0,0,0,0,0,0,0,0,0
"race_catnonhisp_white",0,0,0,0,0,0,0,0,0,0,0
