"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
"length",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB1",0,0,0,0,0.116018048375935,0,0,0,0,0,0
"POP_PCB2",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB3",0.0233831725345734,0,0,0,0.0281595342829475,0,0,0,0.117755670677818,0,0
"POP_PCB4",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB5",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB6",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB7",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB8",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB9",0.104092233099159,0,0,0,0,0,0,0,0,0,0
"POP_PCB10",0,0,0,0,0,0,0,0,0,0,0
"POP_PCB11",0,0,0,0,0,0,0,0,0,0,0
"POP_dioxin1",0,0,0,0,0,0,0,0,0,0,0
"POP_dioxin2",0.156276508115561,0,0,0,0,0,0,0,0,0,0
"POP_dioxin3",0,0,0,0,0,0,0,0,0,0,0
"POP_furan1",0,0,0,0,0,0,0,0,0,0,0
"POP_furan2",0,0,0,0,0,0,0,0,0,0,0
"POP_furan3",0.000301737273244176,0.000235774347733944,6.39334513358837e-05,7.74925397994922e-06,0.000861623702766964,0.000162796002914619,0.000100422655775337,0.000348433001077614,0.0122546992855981,0.000184019122152387,0.000442755996384391
"POP_furan4",0,0,0,0,0,0,0,0,0,0,0
"whitecell_count",0,0,0,0,0,0,0,0,0,0,0
"lymphocyte_pct",0,0,0,0,0,0,0,0,0,0,0
"monocyte_pct",0,0,0,0,0,0,0,0,0,0,0
"basophils_pct",0,0,0,0,0,0,0,0,0,0,0
"neutrophils_pct",0,0,0,0,0,0,0,0,0,0,0
"BMI",0,0,0,0,0,0,0,0,0,0,0
"edu_cat",0,0,0,0,0,0,0,0,0,0,0
"race_cat",0,0,0,0,0,0,0,0,0,0,0
"male",0,0,0,0,0,0,0,0,0,0,0
"ageyrs",6.74795657130818e-19,7.28337290864474e-28,8.51330732992222e-29,8.00366135590262e-32,1.19406847463352e-24,5.97451854373532e-28,1.05693866802045e-29,2.97016868348793e-24,5.10990288881251e-25,1.05008716028078e-27,2.39874026462431e-26
"yrssmoke",0,0,0,0,0,0,0,0,0,0,0
"smokenow",0,0,0,0,0,0,0,0,0,0,0
"ln_lbxcot",0.0506021844808988,0.108037043175846,0,0,0.0598717764508805,0,0,0.0982324996468579,0.158835239782268,0.0434460751761422,0.072498600809059
"edu_cathigh_school",0.880557978498519,0.763870526889279,0.797003081447667,0,0.339963390696491,0.731806230068015,0,0.238064624017351,0.956736041547723,0.75118982930692,0.700856424875903
"edu_catcollege",0.0028360293271109,0.0108792019745921,0.0172334651476771,0,0.000663075727034649,0.00910172328243181,0,0.00118171468824077,0.00619284723782797,0.0264776358875026,0.0121900311369094
"edu_catcollege_grad",0.0744829181017188,0.0460407607921405,0.205194034587387,0,0.0294900094583437,0.170410975281574,0,0.0413964252224494,0.145760978846004,0.0776262105972259,0.0714465245674819
"race_catmaxi_us",0,0,0,0,0,0,0,0,0,0,0
"race_catnonhisp_black",0,0,0,0,0,0,0,0,0,0,0
"race_catnonhisp_white",0,0,0,0,0,0,0,0,0,0,0
